number,title,tag1,tag2,tag3,tag4
PD0285/DR/500/519,Detailed Design Culvert 19 Sheet 1,DR,Drawing,Culverts,
PD0285/DR/500/520,Detailed Design Culvert 20,DR,Drawing,Culverts,
PD0285/DR/500/521,Detailed Design Culvert 21,DR,Drawing,Culverts,
PD0285/DR/500/522,Detailed Design Culvert 18 sheet 2 of 2,DR,Drawing,Culverts,
PD0285/DR/500/523,Detailed Design Culvert 12 & 12A Sheet 2,DR,Drawing,Culverts,
PD0285/DR/500/524,Detailed Design Culvert 3 Sheet 2,DR,Drawing,Culverts,
PD0285/DR/500/526,Detailed Design Culvert 19 Sheet 2,DR,Drawing,Culverts,
PD0285/DR/'500/551,Detailed Design MC 81,DR,Drawing,Minor Culverts,
PD0285/DR/'500/552,Detailed Design MC 82,DR,Drawing,Minor Culverts,
PD0285/DR/500/553,Detailed Design MC 76,DR,Drawing,Minor Culverts,
PD0285/DR/500/554,Detailed Design MC 118,DR,Drawing,Minor Culverts,
PD0285/DR/500/556,Detailed Design MC 39 & MC40 & 126,DR,Drawing,Minor Culverts,
PD0285/DR/500/557,Detailed Design MC 75,DR,Drawing,Minor Culverts,
PD0285/DR/500/559,Detailed Design MC 116,DR,Drawing,Minor Culverts,
PD0285/DR/500/562,Detailed Design MC 48 & 49,DR,Drawing,Minor Culverts,
PD0285/DR/500/563,Detailed Design MC 157,DR,Drawing,Minor Culverts
PD0285/DR/500/601,Detailed Design Balancing Pond No 1,DR,Drawing,Balancing Ponds
PD0285/DR/500/602,Detailed Design Balancing Pond No 2,DR,Drawing,Balancing Ponds
PD0285/DR/500/603,Detailed Design Balancing Pond No 3,DR,Drawing,Balancing Ponds
PD0285/DR/500/604,Detailed Design Balancing Pond No 4,DR,Drawing,Balancing Ponds
PD0285/DR/500/605,Detailed Design Balancing Pond No 5,DR,Drawing,Balancing Ponds
PD0285/DR/500/606,Detailed Design Balancing Pond No 6,DR,Drawing,Balancing Ponds
PD0285/DR/500/607,Detailed Design Balancing Pond No 6A,DR,Drawing,Balancing Ponds
PD0285/DR/500/608,Detailed Design Balancing Pond No 6B,DR,Drawing,Balancing Ponds
PD0285/DR/500/609,Detailed Design Balancing Pond No 7,DR,Drawing,Balancing Ponds
PD0285/DR/500/610,Detailed Design Balancing Pond No 8 & 9,DR,Drawing,Balancing Ponds
PD0285/DR/500/611,Detailed Design Balancing Pond No 10,DR,Drawing,Balancing Ponds
PD0285/DR/500/612,Detailed Design Balancing Pond No 11,DR,Drawing,Balancing Ponds
PD0285/DR/500/613,Detailed Design Balancing Pond No 12,DR,Drawing,Balancing Ponds
PD0285/DR/500/614,Detailed Design Balancing Pond No 13,DR,Drawing,Balancing Ponds
PD0285/DR/500/615,Detailed Design Balancing Pond No 14,DR,Drawing,Balancing Ponds
PD0285/DR/500/616,Detailed Design Balancing Pond No 4A,DR,Drawing,Balancing Ponds
PD0285/DR/SD/001,Manhole Type 12,DR,Drawing,Balancing Ponds
PD0285/DR/SD/002,Manhole Type 13,DR,Drawing,Balancing Ponds
PD0285/DR/SD/003,Surface Water Drains - Bedding Details Type A&A',DR,Drawing,Balancing Ponds
PD0285/DR/500/701CDK,Detailed Design Charcon Kerb Drainage Sheet 1 Ch 400 - 700,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/702CDK,Detailed Design Charcon Kerb Drainage Sheet 2 Ch 700 - 1000,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/703CDK,Detailed Design Charcon Kerb Drainage Sheet 3 Ch 1000 - 1300,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/706CDK,Detailed Design Charcon Kerb Drainage Sheet 6 Ch 1900 - 2200,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/707CDK,Detailed Design Charcon Kerb Drainage Sheet 7 Ch 2200 - 2500,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/711CDK,Detailed Design Charcon Kerb Drainage Sheet 11 Ch 3400 - 3700,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/712CDK,Detailed Design Charcon Kerb Drainage Sheet 12 Ch 3700 - 4000,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/713CDK,Detailed Design Charcon Kerb Drainage Sheet 13 Ch 4000 - 4300,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/714CDK,Detailed Design Charcon Kerb Drainage Sheet 14 Ch 4300 - 4600,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/718CDK,Detailed Design Charcon Kerb Drainage Sheet 18 Ch 5500 - 5800,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/719CDK,Detailed Design Charcon Kerb Drainage Sheet 19 Ch 5800 - 6100,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/722CDK,Detailed Design Charcon Kerb Drainage Sheet 22 Ch 6740 - 7060,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/726CDK,Detailed Design Charcon Kerb Drainage Sheet 26 Ch 8000 - 8300,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/731CDK,Detailed Design Charcon Kerb Drainage Sheet 31 Ch 9500 - 9800,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/738CDK,Detailed Design Charcon Kerb Drainage Sheet 38 Ch 11620 - 11940,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/739CDK,Detailed Design Charcon Kerb Drainage Sheet 39 Ch 11940 - 12260,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/740CDK,Detailed Design Charcon Kerb Drainage Sheet 40 Hawton Lane,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/747CDK,Detailed Design Charcon Kerb Drainage Sheet 47 Ch 14440 - 14740,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/752CDK,Detailed Design Charcon Kerb Drainage Sheet 52 Ch 16000 - 16300,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/755CDK,Detailed Design Charcon Kerb Drainage Sheet 55 Ch 16920 - 17240,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/756CDK,Detailed Design Charcon Kerb Drainage Sheet 56 Ch 17240 - 17560,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/757CDK,Detailed Design Charcon Kerb Drainage Sheet 57 Ch 17560 - 17880,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/758CDK,Detailed Design Charcon Kerb Drainage Sheet 58 Ch 17880 - 18200,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/760CDK,Detailed Design Charcon Kerb Drainage Sheet 60 Ch 18520 - 18840,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/761CDK,Detailed Design Charcon Kerb Drainage Sheet 61 Ch 18840 - 19120,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/764CDK,Detailed Design Charcon Kerb Drainage Sheet 64 Ch 19700 - 20000,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/767CDK,Detailed Design Charcon Kerb Drainage Sheet 67 Ch 20600 - 20920,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/768CDK,Detailed Design Charcon Kerb Drainage Sheet 68 Ch 20920 - 21220,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/769CDK,Detailed Design Charcon Kerb Drainage Sheet 69 Ch 21220 - 21520,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/771CDK,Detailed Design Charcon Kerb Drainage Sheet 71 Ch 21820 - 22120,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/772CDK,Detailed Design Charcon Kerb Drainage Sheet 72 Ch 22120 - 22420,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/773CDK,Detailed Design Charcon Kerb Drainage Sheet 73 Ch 22420 - 22720,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/775CDK,Detailed Design Charcon Kerb Drainage Sheet 75 Ch 23020 - 23320,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/776CDK,Detailed Design Charcon Kerb Drainage Sheet 76 Ch 23320 - 23620,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/779CDK,Detailed Design Charcon Kerb Drainage Sheet 79 Ch 24220 - 24520,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/780CDK,Detailed Design Charcon Kerb Drainage Sheet 80 Ch 24520 - 24820,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/781CDK,Detailed Design Charcon Kerb Drainage Sheet 81 Ch 24820 - 25120,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/784CDK,Detailed Design Charcon Kerb Drainage Sheet 84 Ch 25720 - 26020,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/785CDK,Detailed Design Charcon Kerb Drainage Sheet 85 Ch 26020 - 26320,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/788CDK,Detailed Design Charcon Kerb Drainage Sheet 88 Ch 26920 - 27220,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/800CDK,Detailed Design Charcon Kerb Drainage Sheet 100 Stragglethorpe Road,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/801CDK,Detailed Design Charcon Kerb Drainage Sheet 101 Nottingham Road,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/805CDK,Detailed Design Charcon Kerb Drainage Sheet 105 Cropwell Road,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/809CDK,Detailed Design Charcon Kerb Drainage Sheet 109 Grantham Road,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/810CDK,Detailed Design Charcon Kerb Drainage Sheet 110 Telecom Mast Access Track/Saxondale Roundabout,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/813CDK,Detailed Design Charcon Kerb Drainage Sheet 113 Saxondale Roundabout,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/817CDK,Detailed Design Charcon Kerb Drainage Sheet 117 Margidunum Junction ,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/825CDK,Detailed Design Charcon Kerb Drainage Sheet 125 Tenman Lane,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/830CDK,Detailed Design Charcon Kerb Drainage Sheet 130 Flintham Junction,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/836CDK,Detailed Design Charcon Kerb Drainage Sheet 136 Lodge Lane Junction,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/839CDK,Detailed Design Charcon Kerb Drainage Sheet 139 Moor Lane Overbridge ,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/841CDK,Detailed Design Charcon Kerb Drainage Sheet 141 Hawton Lane Overbridge,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/842CDK,Detailed Design Charcon Kerb Drainage Sheet 142 Hawton Lane Overbridge,DR,Drawing,Charcon Kerb Drainage
PD0285/DR/500/843CDK,Detailed Design Charcon Kerb Drainage Sheet 143 Farndon R'about,DR,Drawing,Charcon Kerb Drainage
PD0285/GD/2500/100,Scheme Layout Key sheet,HWY GD,Drawing,
PD0285/GD/2500/101,Scheme Layout CH 00 - CH 1.600 Sheet 1 of 53,HWY GD,Drawing,
PD0285/GD/2500/102,"Scheme Layout CH1,600 - CH 3,150 Sheet 2 of 53",HWY GD,Drawing,
PD0285/GD/2500/103,"Scheme Layout CH 3,150 - CH 4,700 Sheet 3 of 53",HWY GD,Drawing,
PD0285/GD/2500/104,"Scheme Layout CH 4,700 - CH 6,200 Sheet 4 of 53",HWY GD,Drawing,
PD0285/GD/2500/105,"Scheme Layout CH 6,200 - CH 7,500 Sheet 5 of 53",HWY GD,Drawing,
PD0285/GD/2500/106,"Scheme Layout CH 7,500 - CH 8,650 Shet 6 of 53",HWY GD,Drawing
PD0285/GD/2500/107,"Scheme Layout CH 8,650 - CH 10,050 Sheet 7 of 53",HWY GD,Drawing
PD0285/GD/2500/108,"Scheme Layout CH 10,050 - CH 11,300 Sheet 8 of 53",HWY GD,Drawing
